pred,id
0.640707,20000
0.636904,20001
0.392496,20002
0.588658,20003
0.783603,20004
0.241361,20005
0.735859,20006
0.807901,20007
0.866177,20008
0.666389,20009
0.357267,20010
0.510769,20011
0.747161,20012
0.786042,20013
0.688228,20014
0.694602,20015
0.310431,20016
0.459281,20017
0.44772,20018
0.690678,20019
0.475024,20020
0.925564,20021
0.897915,20022
0.615727,20023
0.88716,20024
0.36132,20025
0.519362,20026
0.906492,20027
0.671001,20028
0.498911,20029
0.399667,20030
0.846908,20031
0.486591,20032
0.499084,20033
0.384,20034
0.937443,20035
0.585568,20036
0.311549,20037
0.583148,20038
0.783023,20039
0.573505,20040
0.918708,20041
0.441895,20042
0.326516,20043
0.291971,20044
0.454392,20045
0.767066,20046
0.560247,20047
0.59723,20048
0.66544,20049
0.973327,20050
0.857894,20051
0.3193,20052
0.746458,20053
0.519628,20054
0.404788,20055
0.517224,20056
0.511457,20057
0.685035,20058
0.499243,20059
0.673665,20060
0.499024,20061
0.011693,20062
0.861466,20063
0.558617,20064
0.988734,20065
0.512427,20066
0.425601,20067
0.765171,20068
0.682713,20069
0.457512,20070
0.49589,20071
0.405692,20072
0.581615,20073
0.415982,20074
0.569335,20075
0.068496,20076
0.899312,20077
0.70761,20078
0.875359,20079
0.372758,20080
0.02959,20081
0.589723,20082
0.861329,20083
0.728114,20084
0.532191,20085
0.750607,20086
0.724192,20087
0.479907,20088
0.630714,20089
0.608249,20090
0.915716,20091
0.687212,20092
0.439146,20093
0.519533,20094
0.652419,20095
0.836294,20096
0.152593,20097
0.06267,20098
0.51483,20099
0.562904,20100
0.447381,20101
0.75345,20102
0.780417,20103
0.730696,20104
0.071458,20105
0.607053,20106
0.614363,20107
0.440509,20108
0.458154,20109
0.911399,20110
0.767478,20111
0.686224,20112
0.61272,20113
0.291012,20114
0.396313,20115
0.372292,20116
0.878575,20117
0.457795,20118
0.522437,20119
0.597089,20120
0.547326,20121
0.587996,20122
0.370576,20123
0.457072,20124
0.331178,20125
0.757964,20126
0.78569,20127
0.908955,20128
0.517155,20129
0.381151,20130
0.429978,20131
0.775099,20132
0.690094,20133
0.358181,20134
0.474817,20135
0.075338,20136
0.366728,20137
0.659077,20138
0.570912,20139
0.681097,20140
0.71412,20141
0.370502,20142
0.461576,20143
0.336836,20144
0.934476,20145
0.634869,20146
0.969161,20147
0.655181,20148
0.382582,20149
0.603872,20150
0.462948,20151
0.54781,20152
0.512013,20153
0.546284,20154
0.871819,20155
0.54901,20156
0.57565,20157
0.870729,20158
0.607399,20159
0.659617,20160
0.328749,20161
0.422934,20162
0.355763,20163
0.523551,20164
0.311441,20165
0.538508,20166
0.628827,20167
0.666222,20168
0.532294,20169
0.523338,20170
0.914934,20171
0.532059,20172
0.683916,20173
0.573676,20174
0.697216,20175
0.455816,20176
0.554843,20177
0.583036,20178
0.345714,20179
0.419747,20180
0.458534,20181
0.803552,20182
0.405994,20183
0.7383,20184
0.705542,20185
0.780366,20186
0.474598,20187
0.883557,20188
0.283138,20189
0.560948,20190
0.570484,20191
0.710694,20192
0.737112,20193
0.300873,20194
0.400649,20195
0.535433,20196
0.47664,20197
0.625445,20198
0.135245,20199
0.342531,20200
0.440343,20201
0.444735,20202
0.653003,20203
0.846291,20204
0.548666,20205
0.520598,20206
0.659326,20207
0.713673,20208
0.6733,20209
0.860217,20210
0.301965,20211
0.645376,20212
0.469036,20213
0.454791,20214
0.795274,20215
0.720961,20216
0.66351,20217
0.64234,20218
0.82719,20219
0.329747,20220
0.331763,20221
0.990411,20222
0.540961,20223
0.340463,20224
0.298099,20225
0.471878,20226
0.732591,20227
0.965723,20228
0.723696,20229
0.353412,20230
0.670658,20231
0.085404,20232
0.893156,20233
0.574578,20234
0.663096,20235
0.510316,20236
0.376154,20237
0.666335,20238
0.181507,20239
0.435772,20240
0.468788,20241
0.520344,20242
0.286238,20243
0.500701,20244
0.619782,20245
0.567571,20246
0.823833,20247
0.518607,20248
0.551077,20249
0.528001,20250
0.635798,20251
0.798574,20252
0.481691,20253
0.840259,20254
0.564278,20255
0.73631,20256
0.738832,20257
0.428857,20258
0.719351,20259
0.718982,20260
0.435315,20261
0.581215,20262
0.320173,20263
0.569312,20264
0.399933,20265
0.251054,20266
0.011611,20267
0.403294,20268
0.61413,20269
0.810789,20270
0.66877,20271
0.480752,20272
0.296851,20273
0.755624,20274
0.585996,20275
0.936231,20276
0.496251,20277
0.826814,20278
0.456745,20279
0.921377,20280
0.667666,20281
0.336779,20282
0.342095,20283
0.954716,20284
0.536214,20285
0.545527,20286
0.842116,20287
0.908239,20288
0.691958,20289
0.906881,20290
0.6368,20291
0.236905,20292
0.237098,20293
0.620216,20294
0.64887,20295
0.353185,20296
0.477254,20297
0.298871,20298
0.609927,20299
0.51961,20300
0.801451,20301
0.490429,20302
0.91042,20303
0.842444,20304
0.676588,20305
0.565367,20306
0.440741,20307
0.02901,20308
0.601932,20309
0.850667,20310
0.591854,20311
0.780907,20312
0.76502,20313
0.735972,20314
0.770385,20315
0.418138,20316
0.647856,20317
0.496518,20318
0.247793,20319
0.951368,20320
0.672052,20321
0.048121,20322
0.86176,20323
0.133257,20324
0.624205,20325
0.739555,20326
0.86705,20327
0.602676,20328
0.501362,20329
0.525149,20330
0.482061,20331
0.891994,20332
0.681248,20333
0.792628,20334
0.969557,20335
0.748118,20336
0.47768,20337
0.792577,20338
0.038346,20339
0.602145,20340
0.699321,20341
0.952802,20342
0.600961,20343
0.898711,20344
0.458271,20345
0.744562,20346
0.588628,20347
0.912161,20348
0.507876,20349
0.590487,20350
0.77731,20351
0.593872,20352
0.904891,20353
0.464878,20354
0.585846,20355
0.631894,20356
0.559058,20357
0.846964,20358
0.623204,20359
0.386989,20360
0.579223,20361
0.30041,20362
0.344074,20363
0.47873,20364
0.688058,20365
0.291755,20366
0.585843,20367
0.624918,20368
0.54215,20369
0.411598,20370
0.734231,20371
0.652852,20372
0.893785,20373
0.530622,20374
0.993283,20375
0.615397,20376
0.604142,20377
0.647237,20378
0.541789,20379
0.516858,20380
0.696807,20381
0.537703,20382
0.472774,20383
0.831875,20384
0.593722,20385
0.36939,20386
0.676201,20387
0.439936,20388
0.789766,20389
0.957945,20390
0.603879,20391
0.537814,20392
0.393705,20393
0.404401,20394
0.819673,20395
0.573206,20396
0.563505,20397
0.791541,20398
0.573,20399
0.515936,20400
0.995926,20401
0.336322,20402
0.394541,20403
0.218471,20404
0.539673,20405
0.823528,20406
0.389698,20407
0.986626,20408
0.413811,20409
0.652176,20410
0.401184,20411
0.741216,20412
0.649759,20413
0.958062,20414
0.618827,20415
0.867759,20416
0.769853,20417
0.492175,20418
0.785755,20419
0.712398,20420
0.569482,20421
0.503614,20422
0.527921,20423
0.292374,20424
0.786727,20425
0.705136,20426
0.564368,20427
0.282102,20428
0.573112,20429
0.708426,20430
0.966628,20431
0.034109,20432
0.536183,20433
0.866355,20434
0.846215,20435
0.787799,20436
0.646075,20437
0.656303,20438
0.552894,20439
0.492978,20440
0.477611,20441
0.759458,20442
0.461602,20443
0.502477,20444
0.922334,20445
0.597174,20446
0.330141,20447
0.69588,20448
0.741427,20449
0.311224,20450
0.736131,20451
0.696197,20452
0.487549,20453
0.497655,20454
0.849406,20455
0.825929,20456
0.016125,20457
0.783055,20458
0.522283,20459
0.886906,20460
0.960658,20461
0.749017,20462
0.753467,20463
0.422236,20464
0.52917,20465
0.946794,20466
0.526029,20467
0.014899,20468
0.570471,20469
0.521251,20470
0.299377,20471
0.069591,20472
0.490379,20473
0.474066,20474
0.521591,20475
0.620327,20476
0.521778,20477
0.641477,20478
0.687313,20479
0.710366,20480
0.953107,20481
0.346622,20482
0.567319,20483
0.831085,20484
0.610471,20485
0.902285,20486
0.808741,20487
0.553705,20488
0.509273,20489
0.499619,20490
0.456843,20491
0.332676,20492
0.808741,20493
0.611024,20494
0.365671,20495
0.319122,20496
0.801303,20497
0.840138,20498
0.311883,20499
0.491565,20500
0.947336,20501
0.62909,20502
0.54884,20503
0.919916,20504
0.821472,20505
0.493335,20506
0.090891,20507
0.304736,20508
0.439486,20509
0.747041,20510
0.842343,20511
0.531297,20512
0.79169,20513
0.474649,20514
0.590872,20515
0.533918,20516
0.51386,20517
0.798177,20518
0.510716,20519
0.801639,20520
0.009241,20521
0.741133,20522
0.30007,20523
0.558202,20524
0.435514,20525
0.332121,20526
0.827144,20527
0.00702,20528
0.453227,20529
0.626583,20530
0.569644,20531
0.714385,20532
0.993032,20533
0.790549,20534
0.596632,20535
0.710103,20536
0.792018,20537
0.389439,20538
0.771529,20539
0.445112,20540
0.862233,20541
0.443362,20542
0.377219,20543
0.958343,20544
0.772145,20545
0.481116,20546
0.74207,20547
0.865451,20548
0.70124,20549
0.384696,20550
0.424076,20551
0.680889,20552
0.888995,20553
0.650277,20554
0.690693,20555
0.648293,20556
0.781438,20557
0.790276,20558
0.361087,20559
0.423402,20560
0.964189,20561
0.578865,20562
0.604292,20563
0.822016,20564
0.713642,20565
0.509084,20566
0.288483,20567
0.693448,20568
0.595185,20569
0.560086,20570
0.351171,20571
0.423951,20572
0.554599,20573
0.494694,20574
0.485792,20575
0.704639,20576
0.723221,20577
0.425574,20578
0.465326,20579
0.82959,20580
0.360809,20581
0.858687,20582
0.962126,20583
0.658905,20584
0.681417,20585
0.787553,20586
0.793073,20587
0.79942,20588
0.88828,20589
0.30947,20590
0.325231,20591
0.676178,20592
0.740907,20593
0.880877,20594
0.350991,20595
0.423051,20596
0.706956,20597
0.530385,20598
0.537003,20599
0.667184,20600
0.329179,20601
0.658805,20602
0.49341,20603
0.707762,20604
0.352526,20605
0.579183,20606
0.393855,20607
0.826998,20608
0.267577,20609
0.507687,20610
0.793084,20611
0.470268,20612
0.877117,20613
0.848158,20614
0.420903,20615
0.332398,20616
0.501652,20617
0.813213,20618
0.333498,20619
0.500874,20620
0.469545,20621
0.314291,20622
0.519389,20623
0.573215,20624
0.997762,20625
0.846826,20626
0.345048,20627
0.916807,20628
0.594158,20629
0.955853,20630
0.500431,20631
0.701764,20632
0.41843,20633
0.859941,20634
0.419777,20635
0.005674,20636
0.338492,20637
0.748206,20638
0.543374,20639
0.874441,20640
0.341573,20641
0.855545,20642
0.455978,20643
0.400297,20644
0.936674,20645
0.828015,20646
0.665054,20647
0.633676,20648
0.894349,20649
0.893777,20650
0.54315,20651
0.954172,20652
0.604926,20653
0.496558,20654
0.669367,20655
0.395435,20656
0.85385,20657
0.692298,20658
0.042297,20659
0.299648,20660
0.016136,20661
0.689689,20662
0.807825,20663
0.561228,20664
0.668814,20665
0.64628,20666
0.434117,20667
0.759964,20668
0.629338,20669
0.910243,20670
0.532367,20671
0.473295,20672
0.77627,20673
0.461506,20674
0.639765,20675
0.516587,20676
0.292124,20677
0.419089,20678
0.669455,20679
0.584482,20680
0.411764,20681
0.516848,20682
0.528608,20683
0.670859,20684
0.811322,20685
0.997006,20686
0.006251,20687
0.849812,20688
0.580967,20689
0.40264,20690
0.349789,20691
0.5962,20692
0.764292,20693
0.333046,20694
0.606057,20695
0.670964,20696
0.604211,20697
0.607169,20698
0.749144,20699
0.534113,20700
0.486879,20701
0.503093,20702
0.735328,20703
0.217278,20704
0.005267,20705
0.836871,20706
0.327228,20707
0.341035,20708
0.588598,20709
0.584031,20710
0.559038,20711
0.844798,20712
0.606171,20713
0.393587,20714
0.777764,20715
0.730581,20716
0.855364,20717
0.819787,20718
0.621379,20719
0.539984,20720
0.62729,20721
0.453827,20722
0.397113,20723
0.739016,20724
0.390061,20725
0.41369,20726
0.552082,20727
0.574773,20728
0.066436,20729
0.584432,20730
0.144374,20731
0.603132,20732
0.958154,20733
0.433447,20734
0.580005,20735
0.812157,20736
0.39209,20737
0.918528,20738
0.693753,20739
0.660071,20740
0.725063,20741
0.330217,20742
0.596446,20743
0.619298,20744
0.367637,20745
0.524487,20746
0.451706,20747
0.345453,20748
0.470214,20749
0.762471,20750
0.57393,20751
0.917736,20752
0.930427,20753
0.556183,20754
0.008178,20755
0.715528,20756
0.907884,20757
0.98494,20758
0.354698,20759
0.666104,20760
0.548577,20761
0.473635,20762
0.779507,20763
0.420687,20764
0.81537,20765
0.72506,20766
0.727558,20767
0.887551,20768
0.717244,20769
0.733429,20770
0.53386,20771
0.46036,20772
0.720677,20773
0.369136,20774
0.624224,20775
0.954227,20776
0.734324,20777
0.497718,20778
0.468559,20779
0.830852,20780
0.388006,20781
0.541313,20782
0.759803,20783
0.678676,20784
0.446037,20785
0.775809,20786
0.79151,20787
0.517908,20788
1.0,20789
0.358536,20790
0.411811,20791
0.682969,20792
0.817418,20793
0.533997,20794
0.634395,20795
0.535899,20796
0.50958,20797
0.830132,20798
0.548075,20799
0.341466,20800
0.987962,20801
0.545546,20802
0.410395,20803
