id,label
0.jpg,1
1.jpg,0
10.jpg,1
100.jpg,0
1000.jpg,1
10000.jpg,1
10001.jpg,1
10002.jpg,1
10003.jpg,1
10004.jpg,0
10005.jpg,1
10006.jpg,0
10007.jpg,0
10008.jpg,1
10009.jpg,1
1001.jpg,0
10010.jpg,1
10011.jpg,0
10012.jpg,1
10013.jpg,1
10014.jpg,1
10015.jpg,1
10016.jpg,0
10017.jpg,1
10018.jpg,1
10019.jpg,1
1002.jpg,1
10020.jpg,1
10021.jpg,0
10022.jpg,0
10023.jpg,0
10024.jpg,1
10025.jpg,0
10026.jpg,1
10027.jpg,0
10028.jpg,1
10029.jpg,1
1003.jpg,0
10030.jpg,0
10031.jpg,1
10032.jpg,0
10033.jpg,1
10034.jpg,0
10035.jpg,1
10036.jpg,1
10037.jpg,0
10038.jpg,0
10039.jpg,0
1004.jpg,0
10040.jpg,1
10041.jpg,0
10042.jpg,0
10043.jpg,1
10044.jpg,1
10045.jpg,0
10046.jpg,1
10047.jpg,0
10048.jpg,0
10049.jpg,1
1005.jpg,0
10050.jpg,1
10051.jpg,1
10052.jpg,1
10053.jpg,0
10054.jpg,1
10055.jpg,0
10056.jpg,0
10057.jpg,1
10058.jpg,0
10059.jpg,1
1006.jpg,1
10060.jpg,1
10061.jpg,1
10062.jpg,1
10063.jpg,1
10064.jpg,0
10065.jpg,1
10066.jpg,1
10067.jpg,0
10068.jpg,1
10069.jpg,1
1007.jpg,1
10070.jpg,0
10071.jpg,1
10072.jpg,0
10073.jpg,0
10074.jpg,1
10075.jpg,0
10076.jpg,1
10077.jpg,0
10078.jpg,0
10079.jpg,1
1008.jpg,1
10080.jpg,1
10081.jpg,1
10082.jpg,1
10083.jpg,1
10084.jpg,1
10085.jpg,0
10086.jpg,1
10087.jpg,1
10088.jpg,1
10089.jpg,1
1009.jpg,0
10090.jpg,1
10091.jpg,0
10092.jpg,0
10093.jpg,1
10094.jpg,1
10095.jpg,1
10096.jpg,1
10097.jpg,0
10098.jpg,0
10099.jpg,1
101.jpg,1
1010.jpg,0
10100.jpg,1
10101.jpg,1
10102.jpg,1
10103.jpg,0
10104.jpg,1
10105.jpg,0
10106.jpg,0
10107.jpg,1
10108.jpg,0
10109.jpg,0
1011.jpg,1
10110.jpg,0
10111.jpg,1
10112.jpg,1
10113.jpg,1
10114.jpg,1
10115.jpg,1
10116.jpg,0
10117.jpg,1
10118.jpg,1
10119.jpg,1
1012.jpg,1
10120.jpg,1
10121.jpg,0
10122.jpg,1
10123.jpg,1
10124.jpg,1
10125.jpg,0
10126.jpg,1
10127.jpg,0
10128.jpg,1
10129.jpg,0
1013.jpg,1
10130.jpg,1
10131.jpg,0
10132.jpg,1
10133.jpg,1
10134.jpg,1
10135.jpg,1
10136.jpg,1
10137.jpg,1
10138.jpg,1
10139.jpg,0
1014.jpg,0
10140.jpg,1
10141.jpg,1
10142.jpg,0
10143.jpg,1
10144.jpg,1
10145.jpg,1
10146.jpg,1
10147.jpg,1
10148.jpg,1
10149.jpg,0
1015.jpg,1
10150.jpg,0
10151.jpg,0
10152.jpg,1
10153.jpg,0
10154.jpg,1
10155.jpg,0
10156.jpg,0
10157.jpg,1
10158.jpg,1
10159.jpg,1
1016.jpg,1
10160.jpg,0
10161.jpg,1
10162.jpg,1
10163.jpg,1
10164.jpg,1
10165.jpg,1
10166.jpg,1
10167.jpg,1
10168.jpg,1
10169.jpg,1
1017.jpg,1
10170.jpg,1
10171.jpg,0
10172.jpg,0
10173.jpg,1
10174.jpg,1
10175.jpg,0
10176.jpg,0
10177.jpg,1
10178.jpg,0
10179.jpg,1
1018.jpg,1
10180.jpg,1
10181.jpg,0
10182.jpg,0
10183.jpg,1
10184.jpg,1
10185.jpg,1
10186.jpg,0
10187.jpg,0
10188.jpg,0
10189.jpg,0
1019.jpg,0
10190.jpg,1
10191.jpg,0
10192.jpg,0
10193.jpg,0
10194.jpg,0
10195.jpg,0
10196.jpg,1
10197.jpg,0
10198.jpg,1
10199.jpg,1
102.jpg,0
1020.jpg,0
10200.jpg,1
10201.jpg,0
10202.jpg,1
10203.jpg,0
10204.jpg,1
10205.jpg,1
10206.jpg,0
10207.jpg,0
10208.jpg,0
10209.jpg,1
1021.jpg,1
10210.jpg,0
10211.jpg,1
10212.jpg,0
10213.jpg,1
10214.jpg,0
10215.jpg,0
10216.jpg,0
10217.jpg,1
10218.jpg,0
10219.jpg,1
1022.jpg,0
10220.jpg,1
10221.jpg,0
10222.jpg,1
10223.jpg,0
10224.jpg,1
10225.jpg,0
10226.jpg,0
10227.jpg,0
10228.jpg,1
10229.jpg,1
1023.jpg,0
10230.jpg,1
10231.jpg,1
