id,label
0.jpg,0.9999846
1.jpg,0.000155616
10.jpg,0.9968406
100.jpg,5.743017e-06
1000.jpg,0.9999951
10000.jpg,0.99505347
10001.jpg,0.9999962
10002.jpg,0.9999999
10003.jpg,0.9667954
10004.jpg,3.7115967e-08
10005.jpg,0.9784856
10006.jpg,2.8940266e-07
10007.jpg,5.2453636e-08
10008.jpg,0.9995958
10009.jpg,0.9999974
1001.jpg,0.3425234
10010.jpg,0.9999546
10011.jpg,4.2469824e-07
10012.jpg,0.9999286
10013.jpg,0.99966085
10014.jpg,0.9973264
10015.jpg,1.0
10016.jpg,0.0021981637
10017.jpg,0.9962845
10018.jpg,0.9999999
10019.jpg,0.97806156
1002.jpg,0.9975547
10020.jpg,0.9999074
10021.jpg,2.7858057e-05
10022.jpg,0.057424996
10023.jpg,2.5058234e-06
10024.jpg,0.99979144
10025.jpg,3.0620104e-08
10026.jpg,0.9931672
10027.jpg,0.0015470565
10028.jpg,0.5653636
10029.jpg,1.0
1003.jpg,0.0001548909
10030.jpg,0.002492589
10031.jpg,0.99998784
10032.jpg,3.126015e-07
10033.jpg,0.99999905
10034.jpg,9.333672e-09
10035.jpg,0.99995613
10036.jpg,0.9999682
10037.jpg,6.3215185e-07
10038.jpg,7.088107e-06
10039.jpg,1.4264565e-06
1004.jpg,3.5090466e-07
10040.jpg,0.99999654
10041.jpg,1.6256422e-07
10042.jpg,2.8492423e-06
10043.jpg,0.9999646
10044.jpg,0.99999964
10045.jpg,1.0402795e-08
10046.jpg,0.99997747
10047.jpg,3.68121e-08
10048.jpg,2.1925932e-09
10049.jpg,0.99937695
1005.jpg,1.0167771e-07
10050.jpg,0.9999051
10051.jpg,0.999998
10052.jpg,0.9990263
10053.jpg,0.023787381
10054.jpg,0.9999938
10055.jpg,3.8042485e-06
10056.jpg,0.0039016583
10057.jpg,0.999997
10058.jpg,1.8228927e-06
10059.jpg,0.9998511
1006.jpg,0.9978308
10060.jpg,0.99991894
10061.jpg,0.99639785
10062.jpg,0.79122037
10063.jpg,0.95995545
10064.jpg,1.1981162e-05
10065.jpg,0.99997663
10066.jpg,0.99966466
10067.jpg,5.6722795e-09
10068.jpg,0.9999987
10069.jpg,0.9983329
1007.jpg,0.99998856
10070.jpg,0.0022404066
10071.jpg,0.9997003
10072.jpg,2.0176723e-05
10073.jpg,2.5623208e-09
10074.jpg,0.99999833
10075.jpg,8.078347e-08
10076.jpg,0.9995121
10077.jpg,0.27668056
10078.jpg,4.970392e-05
10079.jpg,1.0
1008.jpg,0.99973863
10080.jpg,0.99999726
10081.jpg,0.9999931
10082.jpg,1.0
10083.jpg,0.99951565
10084.jpg,1.0
10085.jpg,3.522794e-07
10086.jpg,0.9991573
10087.jpg,0.9994773
10088.jpg,0.9999653
10089.jpg,0.9999988
1009.jpg,9.918989e-07
10090.jpg,0.9999851
10091.jpg,9.5217024e-07
10092.jpg,5.0414772e-05
10093.jpg,1.0
10094.jpg,0.9775253
10095.jpg,0.9997348
10096.jpg,0.9999007
10097.jpg,1.5743153e-07
10098.jpg,0.044503257
10099.jpg,0.99990237
101.jpg,0.9997842
1010.jpg,5.053315e-08
10100.jpg,0.9986755
10101.jpg,0.9999429
10102.jpg,0.99989414
10103.jpg,4.72282e-05
10104.jpg,0.9999958
10105.jpg,0.0034225837
10106.jpg,1.4566663e-06
10107.jpg,0.99999845
10108.jpg,0.00087905076
10109.jpg,2.9115521e-05
1011.jpg,0.99544454
10110.jpg,7.244477e-07
10111.jpg,0.9996439
10112.jpg,0.9998542
10113.jpg,0.9999876
10114.jpg,0.99999964
10115.jpg,0.9999987
10116.jpg,4.8831043e-05
10117.jpg,0.9989729
10118.jpg,0.99998033
10119.jpg,0.9999939
1012.jpg,0.99941206
10120.jpg,0.9999999
10121.jpg,2.2922108e-05
10122.jpg,0.9999926
10123.jpg,0.9571216
10124.jpg,0.9979547
10125.jpg,4.0314987e-07
10126.jpg,0.9999858
10127.jpg,7.495643e-08
10128.jpg,0.99999964
10129.jpg,1.7352247e-06
1013.jpg,0.9999999
10130.jpg,0.9993748
10131.jpg,0.00012517591
10132.jpg,1.0
10133.jpg,0.9945314
10134.jpg,0.99891853
10135.jpg,0.9310008
10136.jpg,0.9999981
10137.jpg,0.99999964
10138.jpg,0.99999297
10139.jpg,5.7178227e-07
1014.jpg,0.32952383
10140.jpg,0.99990344
10141.jpg,0.9999641
10142.jpg,3.1559564e-06
10143.jpg,0.99998045
10144.jpg,0.99997723
10145.jpg,0.9999999
10146.jpg,0.9999932
10147.jpg,0.9999994
10148.jpg,0.9999851
10149.jpg,1.0713708e-06
1015.jpg,0.99920017
10150.jpg,5.7732636e-06
10151.jpg,0.001991086
10152.jpg,0.97673064
10153.jpg,1.940021e-07
10154.jpg,0.9999999
10155.jpg,5.2876007e-06
10156.jpg,0.046261314
10157.jpg,0.9999671
10158.jpg,0.99916613
10159.jpg,0.99999905
1016.jpg,1.0
10160.jpg,9.643464e-09
10161.jpg,0.981927
10162.jpg,0.9999887
10163.jpg,0.9999279
10164.jpg,0.97975254
10165.jpg,0.9998877
10166.jpg,0.99654394
10167.jpg,0.9999999
10168.jpg,0.99950576
10169.jpg,0.999972
1017.jpg,0.9999982
10170.jpg,0.9999515
10171.jpg,5.2004684e-06
10172.jpg,0.25873673
10173.jpg,0.99999964
10174.jpg,0.9997968
10175.jpg,3.1187017e-07
10176.jpg,2.481221e-06
10177.jpg,0.99961805
10178.jpg,0.47519806
10179.jpg,0.9998474
1018.jpg,0.95452887
10180.jpg,0.9985709
10181.jpg,3.8270355e-07
